"id","legisNames","party","state","cd","y","x"
"CA-9","McNerney (D CA-9)","D","CA","9",-0.791737358783262,57.8
"CO-1","DeGette (D CO-1)","D","CO","1",-1.29013311951084,69
"CO-2","Polis (D CO-2)","D","CO","2",-0.652489907575151,57.9
"CO-3","Tipton (R CO-3)","R","CO","3",0.791813270755335,45.8
"CO-4","Gardner (R CO-4)","R","CO","4",0.767401383868448,39.2
"CO-5","Lamborn (R CO-5)","R","CO","5",1.13956215636862,38.3
"CO-6","Coffman (R CO-6)","R","CO","6",0.707844666051475,51.6
"CO-7","Perlmutter (D CO-7)","D","CO","7",-0.647733759467184,56.1
"CT-1","Larson (D CT-1)","D","CT","1",-1.04211907968139,63.15
"CT-2","Courtney (D CT-2)","D","CT","2",-0.912018642161076,55.95
"CT-3","DeLauro (D CT-3)","D","CT","3",-1.20335329840284,62.8
"CT-4","Himes (D CT-4)","D","CT","4",-0.759703114037633,55.05
"CT-5","Esty (D CT-5)","D","CT","5",-0.857167225889801,53.75
"DE-1","Carney (D DE-1)","D","DE","1",-0.801561458512933,58.6
"FL-1","Miller (R FL-1)","R","FL","1",1.05525485869276,30.2
"FL-10","Webster (R FL-10)","R","FL","10",0.771953105943873,45.7
"FL-11","Nugent (R FL-11)","R","FL","11",0.824525537278308,40.2
"FL-12","Bilirakis (R FL-12)","R","FL","12",0.844990245887492,44.8
"FL-13","Young (R FL-13)","R","FL","13",0.688666261080415,50.1
"FL-13","Jolly (R FL-13)","R","FL","13",0.457781494061733,50.1
"FL-14","Castor (D FL-14)","D","FL","14",-1.23972640178541,65.1
"FL-15","Ross (R FL-15)","R","FL","15",0.94395000041332,45.6
"FL-16","Buchanan (R FL-16)","R","FL","16",0.744817698336855,44.9
"FL-17","Rooney (R FL-17)","R","FL","17",0.730714349899971,41.2
"FL-18","Murphy (D FL-18)","D","FL","18",-0.373046078964414,47.6
"FL-19","Radel (R FL-19)","R","FL","19",0.991806817702726,38.8
"FL-19","Clawson (R FL-19)","R","FL","19",1.12019526764335,38.8
"FL-2","Southerland (R FL-2)","R","FL","2",0.935696396687813,46.5
"FL-20","Hastings (D FL-20)","D","FL","20",-1.37865421007879,82.6
"FL-21","Deutch (D FL-21)","D","FL","21",-1.14284483415643,60.6
"FL-22","Frankel (D FL-22)","D","FL","22",-1.15121886352842,54.4
