"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"IL","9","D","F","S001145","29911",24,-2.34804889930455,-2.76863450339739,-1.97129067458793,"Schakowsky (D IL-9)",1,"Jan","Schakowsky"
"WI","2","D","M","P000607", ,9,-2.25814076521528,-2.63700527269959,-1.8904431338691,"Pocan (D WI-2)",2,"Mark","Pocan"
"MA","2","D","M","M000312","29729",23,-2.01250241188698,-2.33894650222659,-1.71975803625727,"McGovern (D MA-2)",3,"Jim","McGovern"
"NY","10","D","M","N000002","29377",33,-2.00454670903201,-2.2955283612951,-1.70170733992051,"Nadler (D NY-10)",4,"Jerrold","Nadler"
"MD","4","D","F","E000290", ,42,-1.83370800668704,-2.10200152531116,-1.5784508578892,"Edwards (D MD-4)",5,"Donna","Edwards"
"CA","13","D","F","L000551","29778",42,-1.75634443247434,-2.01829042321367,-1.499356791382,"Lee (D CA-13)",6,"Barbara","Lee"
"CA","34","D","M","B000287","29316",44,-1.75595420509478,-2.02438625053722,-1.47511703013078,"Becerra (D CA-34)",7,"Xavier","Becerra"
"CA","27","D","F","C001080", ,51,-1.71781328924794,-2.00867982676501,-1.43187502704614,"Chu (D CA-27)",8,"Judy","Chu"
"NJ","12","D","M","H001032","29923",148,-1.69346263812916,-1.96039392631268,-1.41561883550239,"Holt (D NJ-12)",9,"Rush","Holt"
"WA","7","D","M","M000404","15613",33,-1.68201855483583,-1.93521460069712,-1.44261497572883,"McDermott (D WA-7)",10,"Jim","McDermott"
"NY","15","D","M","S000248","29134",25,-1.67768466076381,-1.92759624792874,-1.44242472090272,"Serrano (D NY-15)",11,"José","Serrano"
"CA","37","D","F","B001270", ,136,-1.65036210844498,-1.93923680668457,-1.40671595860049,"Bass (D CA-37)",12,"Karen","Bass"
"NJ","6","D","M","P000034","15454",87,-1.62552732735177,-1.89013215419164,-1.39078606800239,"Pallone (D NJ-6)",13,"Frank","Pallone"
"MA","5","D","F","C001101","",656,-1.60718091630537,-1.94760103659048,-1.24831042453256,"Clark (D MA-5)",14,"Katherine","Clark"
"NY","9","D","F","C001067","20733",57,-1.60366258735877,-1.82693203569464,-1.35873804473451,"Clarke (D NY-9)",15,"Yvette","Clarke"
"CA","47","D","M","L000579", ,14,-1.57305721068684,-1.80253401614737,-1.35192893847166,"Lowenthal (D CA-47)",16,"Alan","Lowenthal"
"CA","17","D","M","H001034","20103",93,-1.55571129885435,-1.77911734303868,-1.33630973278124,"Honda (D CA-17)",17,"Michael","Honda"
"NY","7","D","F","V000081","29378",58,-1.54288473181339,-1.76717385745643,-1.32516569325163,"Velázquez (D NY-7)",18,"Nydia","Velázquez"
"MI","13","D","M","C000714","10713",52,-1.53137259803303,-1.74749037592928,-1.30491213435362,"Conyers Jr. (D MI-13)",19,"John","Conyers Jr."
"GA","5","D","M","L000287","15431",153,-1.5221862356143,-1.74749824081701,-1.29761567412825,"Lewis (D GA-5)",20,"John","Lewis"
"MA","","D","M","M000133","14435",950,-1.50421570209986,-1.88983212158578,-1.13372307277486,"Markey (D MA-)",21,"Edward","Markey"
"CA","40","D","F","R000486","29317",33,-1.501132512246,-1.7442591646663,-1.31011537115542,"Roybal-Allard (D CA-40)",22,"Lucille","Roybal-Allard"
"MN","5","D","M","E000288","20727",51,-1.49090767383772,-1.71744487114497,-1.29208931685709,"Ellison (D MN-5)",23,"Keith","Ellison"
"MD","3","D","M","S001168","20724",34,-1.46034330796178,-1.67592026027479,-1.24652632025496,"Sarbanes (D MD-3)",24,"John","Sarbanes"
"NJ","10","D","M","P000604", ,43,-1.40735924047614,-1.61160591918123,-1.20525921496716,"Payne Jr. (D NJ-10)",25,"Donald","Payne Jr."
"CA","12","D","F","P000197","15448",111,-1.40034743572913,-1.6161678549967,-1.20905440266607,"Pelosi (D CA-12)",26,"Nancy","Pelosi"
"WI","4","D","F","M001160","20537",44,-1.40030615558735,-1.60652485760734,-1.20203643983775,"Moore (D WI-4)",27,"Gwen","Moore"
"MD","7","D","M","C000984","29587",32,-1.39536233045931,-1.61866022118171,-1.20188230046404,"Cummings (D MD-7)",28,"Elijah","Cummings"
"FL","24","D","F","W000808", ,30,-1.39352984203102,-1.5853785723736,-1.19087042474914,"Wilson (D FL-24)",29,"Frederica","Wilson"
"CA","20","D","M","F000030","29313",46,-1.39271390736504,-1.58630480034173,-1.19248172859872,"Farr (D CA-20)",30,"Sam","Farr"
"NY","8","D","M","J000294", ,32,-1.38078690222091,-1.59106490572808,-1.20684716335731,"Jeffries (D NY-8)",31,"Hakeem","Jeffries"
"FL","20","D","M","H000324","29337",109,-1.37865421007879,-1.57673687064809,-1.19108535681751,"Hastings (D FL-20)",32,"Alcee","Hastings"
"CA","33","D","M","W000215","14280",77,-1.37171923105699,-1.57494299028625,-1.18273565254929,"Waxman (D CA-33)",33,"Henry","Waxman"
"ME","1","D","F","P000597", ,39,-1.36759604246097,-1.55222308169936,-1.1794923049477,"Pingree (D ME-1)",34,"Chellie","Pingree"
"CA","32","D","F","N000179","29903",46,-1.35708816711696,-1.54008881192688,-1.14994075812763,"Napolitano (D CA-32)",35,"Grace","Napolitano"
"CA","38","D","F","S001156","20310",29,-1.34741868284762,-1.54017410149581,-1.17609698956871,"Sanchez (D CA-38)",36,"Linda","Sanchez"
"MA","1","D","M","N000015","15616",73,-1.33451900054305,-1.53097475529731,-1.13907679658365,"Neal (D MA-1)",37,"Richard","Neal"
"NY","14","D","M","C001038","29925",31,-1.32045564773054,-1.52224212422276,-1.14096411022437,"Crowley (D NY-14)",38,"Joseph","Crowley"
"CA","6","D","F","M001163","20538",28,-1.31836332105058,-1.50153113105625,-1.14301623940251,"Matsui (D CA-6)",39,"Doris","Matsui"
"CA","43","D","F","W000187","29106",86,-1.31475993160937,-1.50223883208264,-1.13641340803168,"Waters (D CA-43)",40,"Maxine","Waters"
"MA","4","D","M","K000379", ,19,-1.310601222269,-1.48808765789153,-1.13387678783294,"Kennedy III (D MA-4)",41,"Joseph","Kennedy III"
"RI","1","D","M","C001084", ,31,-1.29975401296796,-1.47759877474725,-1.12499643215632,"Cicilline (D RI-1)",42,"David","Cicilline"
"AZ","3","D","M","G000551","20305",115,-1.29896922991076,-1.48129137591845,-1.11614048177483,"Grijalva (D AZ-3)",43,"Raúl","Grijalva"
"CA","41","D","M","T000472", ,6,-1.29338903106794,-1.47749346775633,-1.11298967763238,"Takano (D CA-41)",44,"Mark","Takano"
"CO","1","D","F","D000197","29710",69,-1.29013311951084,-1.47480522837764,-1.10522548191658,"DeGette (D CO-1)",45,"Diana","DeGette"
"CA","11","D","M","M000725","14256",105,-1.2858337218838,-1.46401781724363,-1.09786513450333,"Miller (D CA-11)",46,"George","Miller"
"CA","14","D","F","S001175", ,82,-1.27606378409376,-1.45485627766581,-1.09173674062521,"Speier (D CA-14)",47,"Jackie","Speier"
"PA","2","D","M","F000043","29559",43,-1.27500513220032,-1.44566424624828,-1.09578921991723,"Fattah (D PA-2)",48,"Chaka","Fattah"
"CA","44","D","F","H001063", ,8,-1.26402296858649,-1.43210911580683,-1.09283431292072,"Hahn (D CA-44)",49,"Janice","Hahn"
"NY","20","D","M","T000469", ,7,-1.26054159818964,-1.43705856786786,-1.09042170940622,"Tonko (D NY-20)",50,"Paul","Tonko"
"IL","4","D","M","G000535","29348",204,-1.25837046677688,-1.43623184440138,-1.07806463242027,"Gutierrez (D IL-4)",51,"Luis","Gutierrez"
"IL","7","D","M","D000096","29717",77,-1.25637300518885,-1.43787868692315,-1.07629790583463,"Davis (D IL-7)",52,"Danny","Davis"
"MD","8","D","M","V000128","20330",18,-1.24772941837149,-1.42997521956168,-1.08019162316094,"Van Hollen (D MD-8)",53,"Chris","Van Hollen"
"OR","1","D","F","B001278", ,5,-1.24621436343889,-1.42112409332042,-1.08636727026714,"Bonamici (D OR-1)",54,"Suzanne","Bonamici"
"IL","2","D","F","K000385","21371",110,-1.24547500244916,-1.41930964276087,-1.07122372668603,"Kelly (D IL-2)",55,"Robin","Kelly"
"CA","2","D","M","H001068", ,36,-1.24533662640122,-1.4214555211161,-1.07735359015164,"Huffman (D CA-2)",56,"Jared","Huffman"
"OH","3","D","F","B001281", ,26,-1.2420679171404,-1.42801265908983,-1.08184877257055,"Beatty (D OH-3)",57,"Joyce","Beatty"
"FL","14","D","F","C001066","20708",54,-1.23972640178541,-1.40547602621204,-1.05513691181896,"Castor (D FL-14)",58,"Kathy","Castor"
"OR","3","D","M","B000574","29588",58,-1.23824915816856,-1.40166668177611,-1.06082927550904,"Blumenauer (D OR-3)",59,"Earl","Blumenauer"
"NC","12","D","M","W000207","29383",488,-1.23668542517395,-1.44498819829429,-1.03267106510832,"Watt (D NC-12)",60,"Melvin","Watt"
"MA","7","D","M","C001037","29919",46,-1.23659649016314,-1.39994563779579,-1.07949166062734,"Capuano (D MA-7)",61,"Michael","Capuano"
"OH","11","D","F","F000455", ,64,-1.22254445605642,-1.38648574532033,-1.05533566928192,"Fudge (D OH-11)",62,"Marcia","Fudge"
"TN","9","D","M","C001068","20748",28,-1.21316442462062,-1.36293358455244,-1.04935957272362,"Cohen (D TN-9)",63,"Steve","Cohen"
"CT","3","D","F","D000216","29109",44,-1.20335329840284,-1.38368686334213,-1.04181892317855,"DeLauro (D CT-3)",64,"Rosa","DeLauro"
"NY","5","D","M","M001137","29776",83,-1.18536028761059,-1.35039918166313,-1.02633143653774,"Meeks (D NY-5)",65,"Gregory","Meeks"
"PA","17","D","M","C001090", ,9,-1.17786464286286,-1.33891752567751,-1.01772656686828,"Cartwright (D PA-17)",66,"Matt","Cartwright"
"VT","1","D","M","W000800","20750",19,-1.17762532515829,-1.34281720422555,-1.02703613806672,"Welch (D VT-1)",67,"Peter","Welch"
"NY","26","D","M","H001038","20519",69,-1.17741027647655,-1.33644141140638,-1.0159950444744,"Higgins (D NY-26)",68,"Brian","Higgins"
"GA","4","D","M","J000288","20712",66,-1.1764368611019,-1.33276221237011,-1.01539134070803,"Johnson (D GA-4)",69,"Hank","Johnson"
"CA","18","D","F","E000215","29312",33,-1.17382759551696,-1.33720339754794,-1.0131159993964,"Eshoo (D CA-18)",70,"Anna","Eshoo"
"PA","1","D","M","B001227","29777",23,-1.1721751450102,-1.32673272976727,-1.00159219874271,"Brady (D PA-1)",71,"Robert","Brady"
"MA","3","D","F","T000465","20754",55,-1.17083235630198,-1.33335660876006,-1.02435722315344,"Tsongas (D MA-3)",72,"Niki","Tsongas"
"NJ","8","D","M","S001165","20542",90,-1.16561231971823,-1.33191315091814,-1.01070713438501,"Sires (D NJ-8)",73,"Albio","Sires"
"MI","5","D","M","K000380", ,7,-1.16471871234869,-1.32340772038826,-1.011478901653,"Kildee (D MI-5)",74,"Dan","Kildee"
"MI","9","D","M","L000263","15033",6,-1.15633596526705,-1.30364186982639,-0.99394231784265,"Levin (D MI-9)",75,"Sander","Levin"
"NJ","9","D","M","P000096","29741",36,-1.15492107560743,-1.31309643798812,-0.993854678297528,"Pascrell Jr. (D NJ-9)",76,"Bill","Pascrell Jr."
"CA","28","D","M","S001150","20104",17,-1.1524678081681,-1.31355762782996,-0.999879639692739,"Schiff (D CA-28)",77,"Adam","Schiff"
"KY","3","D","M","Y000062","20723",50,-1.15209920074948,-1.30194001299811,-0.996665873422678,"Yarmuth (D KY-3)",78,"John","Yarmuth"
"FL","22","D","F","F000462", ,37,-1.15121886352842,-1.32269528134293,-1.00644562861499,"Frankel (D FL-22)",79,"Lois","Frankel"
"NY","25","D","F","S000480","15444",101,-1.14988962519799,-1.31701300323973,-1.0048575256659,"Slaughter (D NY-25)",80,"Louise","Slaughter"
"FL","21","D","M","D000610", ,47,-1.14284483415643,-1.30321245995729,-0.988180324456133,"Deutch (D FL-21)",81,"Ted","Deutch"
"IL","1","D","M","R000515","29346",453,-1.14277105318916,-1.31933755870359,-0.964388504955597,"Rush (D IL-1)",82,"Bobby","Rush"
"CA","53","D","F","D000598","20108",28,-1.13283693658835,-1.29161788214871,-0.978386050449682,"Davis (D CA-53)",83,"Susan","Davis"
"PA","14","D","M","D000482","29561",57,-1.13280359782632,-1.2950864288519,-0.982851228795172,"Doyle (D PA-14)",84,"Mike","Doyle"
"NY","16","D","M","E000179","15603",53,-1.12907511262165,-1.27587302355936,-0.964587361679959,"Engel (D NY-16)",85,"Eliot","Engel"
"CA","5","D","M","T000460","29901",20,-1.12672639924374,-1.28144380621463,-0.979657351633954,"Thompson (D CA-5)",86,"Mike","Thompson"
"VA","3","D","M","S000185","39307",17,-1.12656607099108,-1.28261669497239,-0.982303845963888,"Scott (D VA-3)",87,"Robert","Scott"
"NC","4","D","M","P000523","15438",5,-1.12329289923472,-1.26534216110774,-0.953811889450151,"Price (D NC-4)",88,"David","Price"
"NY","13","D","M","R000053","13035",193,-1.12249946208046,-1.28950229505966,-0.970124934512165,"Rangel (D NY-13)",89,"Charles","Rangel"
"MO","1","D","M","C001049","20147",68,-1.10646980359321,-1.26779122217252,-0.952217274735789,"Clay (D MO-1)",90,"William","Clay"
"TX","30","D","F","J000126","39305",31,-1.09258340215162,-1.23573405844545,-0.953905746546003,"Johnson (D TX-30)",91,"Eddie","Johnson"
"MO","5","D","M","C001061","20517",113,-1.08740299529966,-1.24266832826215,-0.948614469619638,"Cleaver II (D MO-5)",92,"Emanuel","Cleaver II"
"NY","6","D","F","M001188", ,67,-1.0719499052947,-1.2204917363274,-0.935197833756796,"Meng (D NY-6)",93,"Grace","Meng"
"TX","16","D","M","O000170", ,6,-1.06504460989595,-1.1969941091209,-0.916348096332774,"O'Rourke (D TX-16)",94,"Beto","O'Rourke"
"NY","12","D","F","M000087","21344",46,-1.06347706474314,-1.20893254066779,-0.924068927446808,"Maloney (D NY-12)",95,"Carolyn","Maloney"
"CA","35","D","F","N000187", ,140,-1.04548721295126,-1.19744010414676,-0.904924688338054,"Negrete McLeod (D CA-35)",96,"Gloria","Negrete McLeod"
"IL","5","D","M","Q000023", ,37,-1.04480747195223,-1.19039783603584,-0.904184525876116,"Quigley (D IL-5)",97,"Mike","Quigley"
"CA","24","D","F","C001036","29774",15,-1.04344154558487,-1.17661132298148,-0.89461175338846,"Capps (D CA-24)",98,"Lois","Capps"
"NY","17","D","F","L000480","15612",12,-1.04247500921179,-1.18311093015737,-0.898711740359774,"Lowey (D NY-17)",99,"Nita","Lowey"
"CT","1","D","M","L000557","29908",30,-1.04211907968139,-1.18884658704304,-0.911749847926659,"Larson (D CT-1)",100,"John","Larson"
"FL","5","D","F","B000911","29328",68,-1.0391997157231,-1.18481319418253,-0.89896921406369,"Brown (D FL-5)",101,"Corrine","Brown"
"PA","13","D","F","S001162","20525",215,-1.03412967698586,-1.19489547708858,-0.889462510439551,"Schwartz (D PA-13)",102,"Allyson","Schwartz"
"MA","6","D","M","T000266","29730",29,-1.02655510931246,-1.16608026691008,-0.896696545576767,"Tierney (D MA-6)",103,"John","Tierney"
"TX","35","D","M","D000399","29571",19,-1.02281417138374,-1.15885493048045,-0.875994312140822,"Doggett (D TX-35)",104,"Lloyd","Doggett"
"HI","1","D","F","H001050", ,115,-1.00786888161318,-1.13229362329801,-0.865905453501907,"Hanabusa (D HI-1)",105,"Colleen","Hanabusa"
"MI","12","D","M","D000355","2605",93,-1.00314116499259,-1.14801280658713,-0.871458794234868,"Dingell (D MI-12)",106,"John","Dingell"
"RI","2","D","M","L000559","20136",29,-0.997860058502821,-1.13195535805365,-0.855469425245086,"Langevin (D RI-2)",107,"Jim","Langevin"
"CA","19","D","F","L000397","29504",18,-0.99141793917109,-1.12281990694554,-0.856864407793503,"Lofgren (D CA-19)",108,"Zoe","Lofgren"
"MD","5","D","M","H000874","14873",57,-0.988228648123166,-1.12027905628432,-0.851354275559532,"Hoyer (D MD-5)",109,"Steny","Hoyer"
"FL","9","D","M","G000556", ,31,-0.985719337826609,-1.10889285424833,-0.850491680090296,"Grayson (D FL-9)",110,"Alan","Grayson"
"FL","23","D","F","W000797","20504",85,-0.983063334752641,-1.11117956531459,-0.835163573287926,"Wasserman Schultz (D FL-23)",111,"Debbie","Wasserman Schultz"
"MS","2","D","M","T000193","29368",54,-0.979023060199022,-1.10768203028368,-0.843141429668031,"Thompson (D MS-2)",112,"Bennie","Thompson"
"MN","4","D","F","M001143","20122",36,-0.975902125551309,-1.10767296014128,-0.846877334204415,"McCollum (D MN-4)",113,"Betty","McCollum"
"AZ","7","D","M","P000099","29101",140,-0.975299931492339,-1.1035002774532,-0.847222055839513,"Pastor (D AZ-7)",114,"Ed","Pastor"
"NJ","1","D","M","A000210","29132",407,-0.972074543202615,-1.11854628524075,-0.825530903766846,"Andrews (D NJ-1)",115,"Robert","Andrews"
"NM","3","D","M","L000570", ,17,-0.968985845399219,-1.10038310398994,-0.850476044280439,"Lujan (D NM-3)",116,"Ben","Lujan"
"IN","7","D","M","C001072", ,20,-0.968596083911641,-1.10477082283595,-0.846087709863229,"Carson (D IN-7)",117,"André","Carson"
"WA","9","D","M","S000510","29768",105,-0.967965349814297,-1.09595957568537,-0.832894814820569,"Smith (D WA-9)",118,"Adam","Smith"
"SC","6","D","M","C000537","39301",65,-0.965166016880008,-1.09293471483876,-0.826640915213369,"Clyburn (D SC-6)",119,"James","Clyburn"
"NC","1","D","M","B001251","20340",55,-0.956554568789253,-1.0839199756832,-0.827466521053255,"Butterfield (D NC-1)",120,"G.","Butterfield"
"OH","9","D","F","K000009","15029",44,-0.951875288955611,-1.07490418791461,-0.823317478678633,"Kaptur (D OH-9)",121,"Marcy","Kaptur"
"NY","3","D","M","I000057","20129",20,-0.949535966041005,-1.08380525736563,-0.828401685507777,"Israel (D NY-3)",122,"Steve","Israel"
"TX","18","D","F","J000032","29573",89,-0.948625400591417,-1.07731264602731,-0.814869292228857,"Jackson-Lee (D TX-18)",123,"Sheila","Jackson-Lee"
"CA","15","D","M","S001193", ,9,-0.947319116000757,-1.07301664733335,-0.822779551122026,"Swalwell (D CA-15)",124,"Eric","Swalwell"
"TX","20","D","M","C001091", ,43,-0.943744871349126,-1.07265910016187,-0.813470383866412,"Castro (D TX-20)",125,"Joaquin","Castro"
"NV","1","D","F","T000468", ,7,-0.93330375116686,-1.05801968398596,-0.810245354457065,"Titus (D NV-1)",126,"Dina","Titus"
"WA","10","D","M","H001064", ,45,-0.92479682710599,-1.04791385000903,-0.796631663027101,"Heck (D WA-10)",127,"Denny","Heck"
"CA","51","D","M","V000130", ,26,-0.914483717180983,-1.03335904566379,-0.787920674881175,"Vargas (D CA-51)",128,"Juan","Vargas"
"MA","9","D","M","K000375", ,35,-0.913490156958963,-1.0300793884915,-0.784567890190836,"Keating (D MA-9)",129,"Bill","Keating"
"OR","4","D","M","D000191","15410",32,-0.912060437404361,-1.03734322610768,-0.795740550628399,"DeFazio (D OR-4)",130,"Peter","DeFazio"
"CT","2","D","M","C001069","20706",31,-0.912018642161076,-1.03413325740653,-0.787737983145968,"Courtney (D CT-2)",131,"Joe","Courtney"
"TX","33","D","M","V000131", ,16,-0.904111157987654,-1.02320280141323,-0.786645273493984,"Veasey (D TX-33)",132,"Marc","Veasey"
"VA","8","D","M","M000933","29149",55,-0.892548442910587,-1.00851582739149,-0.777827428802202,"Moran (D VA-8)",133,"James","Moran"
"CA","30","D","M","S000344","29707",14,-0.889169167584462,-1.00894748444669,-0.770935144966148,"Sherman (D CA-30)",134,"Brad","Sherman"
"NV","4","D","M","H001066", ,161,-0.875132036299079,-0.995626117876302,-0.748719720487967,"Horsford (D NV-4)",135,"Steven","Horsford"
"WA","2","D","M","L000560","20145",70,-0.873462788076586,-1.00173296444938,-0.755338923331584,"Larsen (D WA-2)",136,"Rick","Larsen"
"NH","1","D","F","S001170","20731",42,-0.872839996932722,-0.983127092753596,-0.748709251153478,"Shea-Porter (D NH-1)",137,"Carol","Shea-Porter"
"VA","11","D","M","C001078", ,13,-0.871455288202803,-0.983578516271234,-0.750732529351167,"Connolly (D VA-11)",138,"Gerald","Connolly"
"CA","29","D","M","C001097", ,67,-0.870014190739166,-0.987295941804397,-0.761114552377405,"Cardenas (D CA-29)",139,"Tony","Cardenas"
"NY","1","D","M","B001242","20338",10,-0.861170846773032,-0.972191527754549,-0.747632403566175,"Bishop (D NY-1)",140,"Timothy","Bishop"
"IN","1","D","M","V000108","15124",38,-0.859334790633492,-0.980614416710444,-0.75670752860699,"Visclosky (D IN-1)",141,"Peter","Visclosky"
"CT","5","D","F","E000293", ,23,-0.857167225889801,-0.976451259318005,-0.74117715711536,"Esty (D CT-5)",142,"Elizabeth","Esty"
"MN","8","D","M","N000127","14263",27,-0.836875379549899,-0.946603742740599,-0.720261344983946,"Nolan (D MN-8)",143,"Rick","Nolan"
"TX","9","D","M","G000553","20529",71,-0.828072056106229,-0.932173792246472,-0.70831115851755,"Green (D TX-9)",144,"Al","Green"
"MA","8","D","M","L000562","20119",111,-0.824012842474643,-0.930039376611395,-0.711125981775381,"Lynch (D MA-8)",145,"Stephen","Lynch"
"CA","46","D","F","S000030","29709",81,-0.823035656144412,-0.93081219701909,-0.709437549176568,"Sanchez (D CA-46)",146,"Loretta","Sanchez"
"LA","2","D","M","R000588", ,174,-0.822352656375343,-0.938792318765616,-0.711080319836034,"Richmond (D LA-2)",147,"Cedric","Richmond"
"OH","13","D","M","R000577","20343",75,-0.821061526786009,-0.931438671232671,-0.707610133372195,"Ryan (D OH-13)",148,"Tim","Ryan"
"GA","13","D","M","S001157","20321",47,-0.806804887141489,-0.912207496710338,-0.696361685288552,"Scott (D GA-13)",149,"David","Scott"
"DE","1","D","M","C001083", ,71,-0.801561458512933,-0.909039556176497,-0.691184090542513,"Carney (D DE-1)",150,"John","Carney"
"ME","2","D","M","M001149","20328",10,-0.800499530439486,-0.90071146276667,-0.684801128103045,"Michaud (D ME-2)",151,"Michael","Michaud"
"CA","9","D","M","M001166","20702",21,-0.791737358783262,-0.897096549879751,-0.685843820414136,"McNerney (D CA-9)",152,"Jerry","McNerney"
"NM","1","D","F","L000580", ,39,-0.787326373913454,-0.894052101866473,-0.680589872703437,"Lujan Grisham (D NM-1)",153,"Michelle","Lujan Grisham"
"MD","2","D","M","R000576","20329",71,-0.777990573068034,-0.877221468225953,-0.665244343348908,"Ruppersberger (D MD-2)",154,"C.A. Dutch","Ruppersberger"
"WA","6","D","M","K000381", ,18,-0.775972187379151,-0.889203771173567,-0.669223664515591,"Kilmer (D WA-6)",155,"Derek","Kilmer"
"AL","7","D","F","S001185", ,25,-0.762468973086262,-0.865726595376806,-0.65973485844406,"Sewell (D AL-7)",156,"Terri","Sewell"
"CT","4","D","M","H001047", ,23,-0.759703114037633,-0.870422263234503,-0.658291390430253,"Himes (D CT-4)",157,"Jim","Himes"
"NH","2","D","F","K000382", ,16,-0.745758838113474,-0.849124588190767,-0.644935066051011,"Kuster (D NH-2)",158,"Ann","Kuster"
"WI","3","D","M","K000188","29769",36,-0.734911863173436,-0.839632539527917,-0.63354005505232,"Kind (D WI-3)",159,"Ron","Kind"
"TX","15","D","M","H000636","29763",150,-0.734690318495056,-0.84593989574034,-0.638150704481091,"Hinojosa (D TX-15)",160,"Rubén","Hinojosa"
"WA","1","D","F","D000617", ,13,-0.734345238461528,-0.831135316881905,-0.630726147647634,"DelBene (D WA-1)",161,"Suzan","DelBene"
"MD","6","D","M","D000620", ,28,-0.733987568383912,-0.83961414688857,-0.636017533017273,"Delaney (D MD-6)",162,"John","Delaney"
"NY","4","D","F","M000309","29744",668,-0.729566117908355,-0.860531040137945,-0.602776667216431,"McCarthy (D NY-4)",163,"Carolyn","McCarthy"
"CA","3","D","M","G000559", ,23,-0.723186614093344,-0.822494583113914,-0.618998729860348,"Garamendi (D CA-3)",164,"John","Garamendi"
"CA","26","D","F","B001285", ,8,-0.715135635060201,-0.813375290133601,-0.610690694670087,"Brownley (D CA-26)",165,"Julia","Brownley"
"IA","1","D","M","B001259","20719",29,-0.699816555246109,-0.79689181966173,-0.599832707865428,"Braley (D IA-1)",166,"Bruce","Braley"
"HI","2","D","F","G000571", ,49,-0.694858207655661,-0.791757973998808,-0.592283739668828,"Gabbard (D HI-2)",167,"Tulsi","Gabbard"
"IL","8","D","F","D000622", ,33,-0.672958370329202,-0.770618945021375,-0.580447716140577,"Duckworth (D IL-8)",168,"Tammy","Duckworth"
"CO","2","D","M","P000598", ,109,-0.652489907575151,-0.75868558350883,-0.562726510342743,"Polis (D CO-2)",169,"Jared","Polis"
"IA","2","D","M","L000565","20720",16,-0.650289138198294,-0.74041559116015,-0.554587292350886,"Loebsack (D IA-2)",170,"Dave","Loebsack"
"CO","7","D","M","P000593","20705",63,-0.647733759467184,-0.740748576438938,-0.558539336050882,"Perlmutter (D CO-7)",171,"Ed","Perlmutter"
"MN","1","D","M","W000799","20726",30,-0.635399939624479,-0.732724800662612,-0.545612538038189,"Walz (D MN-1)",172,"Tim","Walz"
"IL","11","D","M","F000454", ,16,-0.628427295420342,-0.72234717969999,-0.53730870299041,"Foster (D IL-11)",173,"Bill","Foster"
"MI","14","D","M","P000595", ,42,-0.610888239994747,-0.698972472821248,-0.520911219234172,"Peters (D MI-14)",174,"Gary","Peters"
"CA","7","D","M","B001287", ,9,-0.556249075208918,-0.646603731227806,-0.473781388963225,"Bera (D CA-7)",175,"Ami","Bera"
"IL","12","D","M","E000292", ,31,-0.55587039637887,-0.638826860230394,-0.467742069862569,"Enyart (D IL-12)",176,"Bill","Enyart"
"IL","10","D","M","S001190", ,26,-0.552379447164864,-0.640819233863946,-0.466435103373117,"Schneider (D IL-10)",177,"Brad","Schneider"
"AZ","1","D","F","K000368", ,91,-0.538058454617024,-0.62265972003692,-0.451936189203491,"Kirkpatrick (D AZ-1)",178,"Ann","Kirkpatrick"
"IL","17","D","F","B001286", ,23,-0.536631731761255,-0.622832656369847,-0.450793283833556,"Bustos (D IL-17)",179,"Cheri","Bustos"
"TN","5","D","M","C000754","15019",21,-0.506939262440658,-0.592307649058985,-0.422523022221909,"Cooper (D TN-5)",180,"Jim","Cooper"
"FL","26","D","M","G000573", ,42,-0.497540166374777,-0.581721552832724,-0.415775092535036,"Garcia (D FL-26)",181,"Joe","Garcia"
"CA","36","D","M","R000599", ,33,-0.493105711333613,-0.576872753219311,-0.40597788609918,"Ruiz (D CA-36)",182,"Raul","Ruiz"
"TX","34","D","M","V000132", ,34,-0.480057454619968,-0.556707197842179,-0.39583315232554,"Vela (D TX-34)",183,"Filemon","Vela"
"TX","29","D","M","G000410","39304",47,-0.473152234200154,-0.550389211072721,-0.385837334788924,"Green (D TX-29)",184,"Gene","Green"
"IL","3","D","M","L000563","20508",35,-0.468941086597019,-0.554342781486373,-0.387390707121766,"Lipinski (D IL-3)",185,"Daniel","Lipinski"
"NY","18","D","M","M001185", ,19,-0.465586846816546,-0.541415955993342,-0.3800825153742,"Maloney (D NY-18)",186,"Sean","Maloney"
"GA","2","D","M","B000490","29339",74,-0.446251594075651,-0.523697425136122,-0.369082586918959,"Bishop Jr. (D GA-2)",187,"Sanford","Bishop Jr."
"CA","52","D","M","P000608", ,15,-0.442114535672852,-0.522233301760635,-0.364056479567261,"Peters (D CA-52)",188,"Scott","Peters"
"OR","5","D","M","S001180", ,16,-0.411073478294249,-0.486306159957719,-0.331421355358604,"Schrader (D OR-5)",189,"Kurt","Schrader"
"NY","24","D","M","M001171", ,13,-0.396951541796144,-0.471528383373843,-0.322458720043352,"Maffei (D NY-24)",190,"Dan","Maffei"
"FL","18","D","M","M001191", ,20,-0.373046078964414,-0.444457186274116,-0.291553779876446,"Murphy (D FL-18)",191,"Patrick","Murphy"
"TX","23","D","M","G000572", ,21,-0.363089144829906,-0.439277182174131,-0.289601544192123,"Gallego (D TX-23)",192,"Pete","Gallego"
