"state","district","party","gender","nameid","icpsr.id","missingVotes","idealPoint","lo","up","label","indx","firstnm","lastnm"
"SC","1","R","M","S000051","29565",163,0.720274233659637,0.62598065620044,0.822910897006424,"Sanford (R SC-1)",272,"Mark","Sanford"
"AR","3","R","M","W000809", ,3,0.726532235444793,0.62278720034338,0.823274894114304,"Womack (R AR-3)",273,"Steve","Womack"
"MI","1","R","M","B001271", ,38,0.727213027075214,0.624047849191483,0.828203256538052,"Benishek (R MI-1)",274,"Dan","Benishek"
"KY","4","R","M","M001184", ,5,0.72816357340475,0.633509216403519,0.824579066860119,"Massie (R KY-4)",275,"Thomas","Massie"
"VA","4","R","M","F000445","20143",26,0.728866456181527,0.623423076480795,0.824742402417894,"Forbes (R VA-4)",276,"J.","Forbes"
"AL","1","R","M","B001244","20300",685,0.729107902647496,0.596187150191822,0.862041472129127,"Bonner (R AL-1)",277,"Jo","Bonner"
"FL","17","R","M","R000583", ,22,0.730714349899971,0.633702159719274,0.830534697559279,"Rooney (R FL-17)",278,"Tom","Rooney"
"NV","2","R","M","A000369", ,99,0.734522578850323,0.625089068397,0.830067088862628,"Amodei (R NV-2)",279,"Mark","Amodei"
"CA","22","R","M","N000181","20307",31,0.737342536399491,0.638965139439278,0.834330468492482,"Nunes (R CA-22)",280,"Devin","Nunes"
"OH","12","R","M","T000462","20130",32,0.74108660235278,0.633328169945643,0.833887528886786,"Tiberi (R OH-12)",281,"Pat","Tiberi"
"PA","3","R","M","K000376", ,8,0.742872737618243,0.640566745366756,0.845533826284598,"Kelly (R PA-3)",282,"Mike","Kelly"
"FL","16","R","M","B001260","20709",51,0.744817698336855,0.647204721907888,0.853368282257364,"Buchanan (R FL-16)",283,"Vern","Buchanan"
"VA","2","R","M","R000589", ,19,0.746846387841608,0.64551455467374,0.846853092828533,"Rigell (R VA-2)",284,"Scott","Rigell"
"PA","9","R","M","S001154","20134",53,0.748795888766342,0.642465717501634,0.850723760446195,"Shuster (R PA-9)",285,"Bill","Shuster"
"CA","48","R","M","R000409","15621",90,0.750429958630515,0.657836667670289,0.856628012507745,"Rohrabacher (R CA-48)",286,"Dana","Rohrabacher"
"NY","27","R","M","C001092", ,26,0.750597872129854,0.646111245092301,0.851403009826136,"Collins (R NY-27)",287,"Chris","Collins"
"NC","2","R","F","E000291", ,21,0.75233386083722,0.659563432042397,0.866037066034468,"Ellmers (R NC-2)",288,"Renee","Ellmers"
"AR","2","R","M","G000567", ,28,0.760076962776086,0.661763044494998,0.870933131869699,"Griffin (R AR-2)",289,"Tim","Griffin"
"AL","4","R","M","A000055","29701",92,0.76450976715632,0.65489490121651,0.871298309430013,"Aderholt (R AL-4)",290,"Robert","Aderholt"
"WI","6","R","M","P000265","14675",9,0.767061994019838,0.664659442013742,0.864390110229467,"Petri (R WI-6)",291,"Tom","Petri"
"CO","4","R","M","G000562", ,22,0.767401383868448,0.666687200263671,0.874274674488945,"Gardner (R CO-4)",292,"Cory","Gardner"
"FL","10","R","M","W000806", ,42,0.771953105943873,0.669244542096317,0.878130563373114,"Webster (R FL-10)",293,"Daniel","Webster"
"TX","7","R","M","C001048","20139",120,0.777193631652876,0.674345463744085,0.88445685569032,"Culberson (R TX-7)",294,"John","Culberson"
"LA","5","R","M","M001192","",657,0.780860172618492,0.647455707402775,0.910241246180341,"McAllister (R LA-5)",295,"Vance","McAllister"
"MI","8","R","M","R000572","20120",80,0.78222113526261,0.675349412383533,0.888520271490195,"Rogers (R MI-8)",296,"Mike","Rogers"
"LA","6","R","M","C001075", ,42,0.786118474837276,0.681611033267062,0.889392724087482,"Cassidy (R LA-6)",297,"Bill","Cassidy"
"SD","1","R","F","N000184", ,58,0.788823397196241,0.686167057035526,0.898006228970962,"Noem (R SD-1)",298,"Kristi","Noem"
"MI","4","R","M","C000071","29124",18,0.789178112595893,0.675191230491615,0.890772343852854,"Camp (R MI-4)",299,"Dave","Camp"
"CO","3","R","M","T000470", ,36,0.791813270755335,0.686063127633917,0.902611526095817,"Tipton (R CO-3)",300,"Scott","Tipton"
"CA","23","R","M","M001165","20703",4,0.794611039469371,0.688853495171907,0.899556030594971,"McCarthy (R CA-23)",301,"Kevin","McCarthy"
"IL","6","R","M","R000580","20715",19,0.79718026947348,0.699476791818294,0.904172868340251,"Roskam (R IL-6)",302,"Peter","Roskam"
"NM","2","R","M","P000588","20337",19,0.79744768735844,0.697109490041835,0.90677568528711,"Pearce (R NM-2)",303,"Steve","Pearce"
"VA","1","R","M","W000804","20756",9,0.799811155618311,0.696756150166296,0.90579132442196,"Wittman (R VA-1)",304,"Robert","Wittman"
"MN","3","R","M","P000594", ,7,0.801282254394291,0.688630856789892,0.896353575900285,"Paulsen (R MN-3)",305,"Erik","Paulsen"
"IN","2","R","F","W000813", ,13,0.810527153184874,0.70418330462094,0.92507546110489,"Walorski (R IN-2)",306,"Jackie","Walorski"
"CA","8","R","M","C001094", ,12,0.813219359715367,0.709317375128059,0.917671101110546,"Cook (R CA-8)",307,"Paul","Cook"
"LA","3","R","M","B001255","20514",10,0.821746965374863,0.720762076877911,0.930261890255298,"Boustany Jr. (R LA-3)",308,"Charles","Boustany Jr."
"IN","5","R","F","B001284", ,10,0.823596670591836,0.714785049865563,0.931067296638488,"Brooks (R IN-5)",309,"Susan","Brooks"
"FL","11","R","M","N000185", ,36,0.824525537278308,0.715350041334924,0.925356965492394,"Nugent (R FL-11)",310,"Richard","Nugent"
"OH","7","R","M","G000563", ,17,0.832060912090725,0.730188511099106,0.94136947422346,"Gibbs (R OH-7)",311,"Bob","Gibbs"
"WA","5","R","F","M001159","20535",52,0.833650928428312,0.730039651586616,0.94318022539149,"McMorris Rodgers (R WA-5)",312,"Cathy","McMorris Rodgers"
"KY","2","R","M","G000558", ,15,0.837225578892028,0.725368057821733,0.945131501345999,"Guthrie (R KY-2)",313,"Brett","Guthrie"
"VA","7","R","M","C001046","20144",75,0.838042640330295,0.728941312494305,0.949377325334201,"Cantor (R VA-7)",314,"Eric","Cantor"
"IN","9","R","M","Y000064", ,16,0.838661049356271,0.732589691068678,0.948998786657275,"Young (R IN-9)",315,"Todd","Young"
"TX","31","R","M","C001051","20356",64,0.8436703374747,0.732509058750418,0.95457150373444,"Carter (R TX-31)",316,"John","Carter"
"FL","12","R","M","B001257", ,24,0.844990245887492,0.732752149599408,0.94916599834129,"Bilirakis (R FL-12)",317,"Gus","Bilirakis"
"TX","36","R", ,"S000937","29570",69,0.847632311937334,0.742415489084451,0.95623639966775,"Stockman (R TX-36)",318,"Steve","Stockman"
"CA","49","R","M","I000056","20107",13,0.851912845264779,0.747043912571905,0.965901116202391,"Issa (R CA-49)",319,"Darrell","Issa"
"IN","8","R","M","B001275", ,17,0.854372114892551,0.739050447600407,0.961875728491753,"Bucshon (R IN-8)",320,"Larry","Bucshon"
"MO","3","R","M","L000569", ,11,0.854513276414079,0.743131428355501,0.959747512836868,"Luetkemeyer (R MO-3)",321,"Blaine","Luetkemeyer"
"UT","2","R","M","S001192", ,32,0.857504022955682,0.7540158990379,0.975250484396635,"Stewart (R UT-2)",322,"Chris","Stewart"
"MT","1","R","M","D000618", ,13,0.859522465253163,0.747043083795408,0.962619221141581,"Daines (R MT-1)",323,"Steve","Daines"
"KY","6","R","M","B001282", ,8,0.862841745670048,0.74980811368556,0.973228186976027,"Barr (R KY-6)",324,"Andy","Barr"
"TX","12","R","F","G000377","29762",55,0.862878489444105,0.758152638754482,0.977893062123663,"Granger (R TX-12)",325,"Kay","Granger"
"OH","6","R","M","J000292", ,4,0.863435625654851,0.755608665778853,0.983629264798544,"Johnson (R OH-6)",326,"Bill","Johnson"
"AL","3","R","M","R000575","20301",32,0.863993275294746,0.753165970987117,0.973973828894549,"Rogers (R AL-3)",327,"Mike","Rogers"
"TX","6","R","M","B000213","15085",56,0.87193437320628,0.762628237088366,0.982149327868755,"Barton (R TX-6)",328,"Joe","Barton"
"MO","6","R","M","G000546","20124",65,0.871945133814265,0.75372018168416,0.977964321890556,"Graves (R MO-6)",329,"Sam","Graves"
"MN","2","R","M","K000363","20333",7,0.875896149140802,0.766818819272952,0.987845877214371,"Kline (R MN-2)",330,"John","Kline"
"TX","4","R","M","H000067","94828",39,0.892183204950832,0.767805208169318,1.00367002583759,"Hall (R TX-4)",331,"Ralph","Hall"
"PA","12","R","M","R000598", ,4,0.89305216257594,0.774956607606119,1.00355724416161,"Rothfus (R PA-12)",332,"Keith","Rothfus"
"MI","10","R","F","M001150","20331",5,0.906004518822284,0.779639455558016,1.01813767341961,"Miller (R MI-10)",333,"Candice","Miller"
"MO","2","R","F","W000812", ,27,0.914083590687774,0.809363603969815,1.04065937615083,"Wagner (R MO-2)",334,"Ann","Wagner"
"MO","4","R","F","H001053", ,66,0.917964632243875,0.797084164340886,1.03983192028843,"Hartzler (R MO-4)",335,"Vicky","Hartzler"
"TX","2","R","M","P000592","20528",49,0.921898203351607,0.803720048468274,1.04147840030725,"Poe (R TX-2)",336,"Ted","Poe"
"TX","27","R","M","F000460", ,7,0.922267337363939,0.802982502417384,1.03114869038317,"Farenthold (R TX-27)",337,"Blake","Farenthold"
"FL","7","R","M","M000689","29331",4,0.92227363274018,0.805323473711044,1.03525006816074,"Mica (R FL-7)",338,"John","Mica"
"TN","1","R","M","R000582", ,15,0.923403610611536,0.808013613964786,1.04372519245351,"Roe (R TN-1)",339,"Phil","Roe"
"AL","5","R","M","B001274", ,15,0.924138831701507,0.815374562503682,1.0383197147083,"Brooks (R AL-5)",340,"Mo","Brooks"
"TN","3","R","M","F000459", ,17,0.927847304259354,0.811705596003258,1.05124115804062,"Fleischmann (R TN-3)",341,"Chuck","Fleischmann"
"KS","2","R","F","J000290", ,6,0.930742797424082,0.820618704230387,1.05317701306602,"Jenkins (R KS-2)",342,"Lynn","Jenkins"
"FL","2","R","M","S001186", ,12,0.935696396687813,0.819902369602892,1.0507939118651,"Southerland (R FL-2)",343,"Steve","Southerland"
"CA","50","R","M","H001048", ,78,0.938896006897644,0.815667637870932,1.06336671026158,"Hunter (R CA-50)",344,"Duncan","Hunter"
